vcf_sample	bed_sample
GTEX-1S5VW	GTEX-1S5VW-0005-SM-CYPS4
GTEX-1S5ZA	GTEX-1S5ZA-0005-SM-CYPS2
GTEX-1S5ZU	GTEX-1S5ZU-0005-SM-CYPS3
GTEX-1S82P	GTEX-1S82P-0005-SM-CM2RX
GTEX-1S82U	GTEX-1S82U-0005-SM-CYPRW
GTEX-1S82Y	GTEX-1S82Y-0005-SM-DO123
GTEX-1S82Z	GTEX-1S82Z-0006-SM-DLHC5
GTEX-1S831	GTEX-1S831-0006-SM-DLHC1
GTEX-1S83E	GTEX-1S83E-0006-SM-DLHBW
GTEX-N7MS	GTEX-N7MS-0007-SM-2D7W1
GTEX-N7MT	GTEX-N7MT-0007-SM-3GACQ
GTEX-NFK9	GTEX-NFK9-0006-SM-3GACS
GTEX-NPJ7	GTEX-NPJ7-0006-SM-3GACR
GTEX-NPJ8	GTEX-NPJ8-0007-SM-2D7VX
GTEX-O5YT	GTEX-O5YT-0007-SM-32PK7
GTEX-O5YW	GTEX-O5YW-0006-SM-3LK6E
GTEX-OHPL	GTEX-OHPL-0006-SM-3MJHB
GTEX-OHPM	GTEX-OHPM-0006-SM-2HMKU
GTEX-OHPN	GTEX-OHPN-0005-SM-2YUML
GTEX-OIZF	GTEX-OIZF-0006-SM-2I5GQ
GTEX-OIZH	GTEX-OIZH-0005-SM-2HMJN
GTEX-OIZI	GTEX-OIZI-0005-SM-2XCED
GTEX-OOBJ	GTEX-OOBJ-0006-SM-2I3F4
GTEX-OOBK	GTEX-OOBK-0005-SM-2YUMG
GTEX-OXRL	GTEX-OXRL-0005-SM-3LK6A
GTEX-OXRO	GTEX-OXRO-0006-SM-2I5EM
GTEX-OXRP	GTEX-OXRP-0006-SM-2I3FN
GTEX-P44G	GTEX-P44G-0006-SM-2TC6A
GTEX-P44H	GTEX-P44H-0006-SM-2XCFB
GTEX-P4PP	GTEX-P4PP-0005-SM-2HMKX
GTEX-P4PQ	GTEX-P4PQ-0005-SM-2HMKJ
GTEX-P4QS	GTEX-P4QS-0005-SM-2I3EY
GTEX-P78B	GTEX-P78B-0005-SM-2I5GM
GTEX-PLZ4	GTEX-PLZ4-0006-SM-CYPR7
GTEX-PLZ5	GTEX-PLZ5-0006-SM-DIPE2
GTEX-PLZ6	GTEX-PLZ6-0006-SM-33HBZ
GTEX-POMQ	GTEX-POMQ-0006-SM-5SI7D
GTEX-POYW	GTEX-POYW-0006-SM-2XCF4
GTEX-PSDG	GTEX-PSDG-0005-SM-3GADC
GTEX-PVOW	GTEX-PVOW-0006-SM-3NMB8
GTEX-PW2O	GTEX-PW2O-0006-SM-2I3DV
GTEX-PWCY	GTEX-PWCY-0005-SM-DHXL3
GTEX-PWN1	GTEX-PWN1-0006-SM-CYPR2
GTEX-PX3G	GTEX-PX3G-0006-SM-5SI7E
GTEX-Q2AG	GTEX-Q2AG-0005-SM-5SI7F
GTEX-Q2AH	GTEX-Q2AH-0005-SM-33HBR
GTEX-Q2AI	GTEX-Q2AI-0006-SM-2I3FG
GTEX-Q734	GTEX-Q734-0006-SM-2I3FJ
GTEX-QCQG	GTEX-QCQG-0006-SM-DIPE5
GTEX-QDT8	GTEX-QDT8-0006-SM-CXZJC
GTEX-QDVJ	GTEX-QDVJ-0005-SM-2TC5X
GTEX-QDVN	GTEX-QDVN-0006-SM-48U1R
GTEX-QEG4	GTEX-QEG4-0006-SM-2I5FY
GTEX-QEG5	GTEX-QEG5-0006-SM-2I5FZ
GTEX-QESD	GTEX-QESD-0006-SM-2I5G6
GTEX-QLQ7	GTEX-QLQ7-0005-SM-2S1QP
GTEX-QMR6	GTEX-QMR6-0005-SM-32PKY
GTEX-QMRM	GTEX-QMRM-0005-SM-3NB2A
GTEX-QV31	GTEX-QV31-0006-SM-793B5
GTEX-QVJO	GTEX-QVJO-0006-SM-2S1RC
GTEX-QVUS	GTEX-QVUS-0006-SM-3GAE8
GTEX-QXCU	GTEX-QXCU-0006-SM-2TC5K
GTEX-R3RS	GTEX-R3RS-0005-SM-3GAEH
GTEX-R53T	GTEX-R53T-0005-SM-3GADK
GTEX-R55C	GTEX-R55C-0005-SM-3GAE9
GTEX-R55D	GTEX-R55D-0006-SM-3GIJS
GTEX-R55E	GTEX-R55E-0006-SM-2TC5G
GTEX-R55G	GTEX-R55G-0006-SM-2TC6O
GTEX-REY6	GTEX-REY6-0005-SM-2TF54
GTEX-RM2N	GTEX-RM2N-0006-SM-2TF5H
GTEX-RN64	GTEX-RN64-0005-SM-793B4
GTEX-RNOR	GTEX-RNOR-0005-SM-2TF4Z
GTEX-RTLS	GTEX-RTLS-0006-SM-2TF58
GTEX-RU1J	GTEX-RU1J-0006-SM-2TF6M
GTEX-RU72	GTEX-RU72-0006-SM-2TF65
GTEX-RUSQ	GTEX-RUSQ-0006-SM-2TF6P
GTEX-RVPV	GTEX-RVPV-0006-SM-2TF6Q
GTEX-RWS6	GTEX-RWS6-0005-SM-2XCAN
GTEX-RWSA	GTEX-RWSA-0005-SM-2XCAO
GTEX-S32W	GTEX-S32W-0006-SM-2XCAK
GTEX-S33H	GTEX-S33H-0005-SM-2XCAL
GTEX-S341	GTEX-S341-0006-SM-3NM8D
GTEX-S7PM	GTEX-S7PM-0006-SM-3NM8C
GTEX-S7SE	GTEX-S7SE-0005-SM-2XCEA
GTEX-S95S	GTEX-S95S-0005-SM-2XCEC
GTEX-SE5C	GTEX-SE5C-0006-SM-4BRW5
GTEX-SIU8	GTEX-SIU8-0006-SM-2XCE5
GTEX-SJXC	GTEX-SJXC-0005-SM-2XCE7
GTEX-SN8G	GTEX-SN8G-0006-SM-32PLD
GTEX-SNMC	GTEX-SNMC-0006-SM-2XCFE
GTEX-SNOS	GTEX-SNOS-0006-SM-32PLH
GTEX-SSA3	GTEX-SSA3-0005-SM-32QOT
GTEX-SUCS	GTEX-SUCS-0006-SM-4DM59
GTEX-T2YK	GTEX-T2YK-0005-SM-32QOV
GTEX-T5JC	GTEX-T5JC-0006-SM-EZ6L9
GTEX-T5JW	GTEX-T5JW-0005-SM-3GADE
GTEX-T6MN	GTEX-T6MN-0005-SM-32PLJ
GTEX-T6MO	GTEX-T6MO-0006-SM-32QOU
GTEX-T8EM	GTEX-T8EM-0006-SM-3DB71
GTEX-TKQ1	GTEX-TKQ1-0006-SM-33HBI
GTEX-TKQ2	GTEX-TKQ2-0006-SM-33HBH
GTEX-TML8	GTEX-TML8-0005-SM-32QPA
GTEX-TMMY	GTEX-TMMY-0005-SM-33HBN
GTEX-TMZS	GTEX-TMZS-0006-SM-3DB8G
GTEX-TSE9	GTEX-TSE9-0005-SM-4DXUF
GTEX-U3ZG	GTEX-U3ZG-0006-SM-47JWX
GTEX-U3ZH	GTEX-U3ZH-0005-SM-3DB72
GTEX-U3ZN	GTEX-U3ZN-0006-SM-3DB7Y
GTEX-U4B1	GTEX-U4B1-0006-SM-3DB8E
GTEX-U8T8	GTEX-U8T8-0005-SM-3DB8F
GTEX-U8XE	GTEX-U8XE-0005-SM-3DB8I
GTEX-UJHI	GTEX-UJHI-0006-SM-3DB8H
GTEX-UJMC	GTEX-UJMC-0005-SM-3GACU
GTEX-UPJH	GTEX-UPJH-0006-SM-3GACW
GTEX-UPK5	GTEX-UPK5-0006-SM-3GAD8
GTEX-UTHO	GTEX-UTHO-0006-SM-3NMCC
GTEX-V1D1	GTEX-V1D1-0006-SM-3NMCE
GTEX-V955	GTEX-V955-0005-SM-3P5ZC
GTEX-VJWN	GTEX-VJWN-0005-SM-3GIKF
GTEX-VJYA	GTEX-VJYA-0005-SM-3P5ZD
GTEX-VUSG	GTEX-VUSG-0006-SM-3GIK9
GTEX-VUSH	GTEX-VUSH-0005-SM-3NB2H
GTEX-W5WG	GTEX-W5WG-0006-SM-3GIJT
GTEX-W5X1	GTEX-W5X1-0006-SM-3GIJZ
GTEX-WCDI	GTEX-WCDI-0005-SM-3NB2M
GTEX-WEY5	GTEX-WEY5-0006-SM-3GIKG
GTEX-WFG7	GTEX-WFG7-0005-SM-3GIKM
GTEX-WFG8	GTEX-WFG8-0006-SM-3GIKS
GTEX-WFJO	GTEX-WFJO-0005-SM-3GIKY
GTEX-WFON	GTEX-WFON-0005-SM-3NMC9
GTEX-WH7G	GTEX-WH7G-0005-SM-3NMBX
GTEX-WHPG	GTEX-WHPG-0006-SM-3NMBV
GTEX-WHSB	GTEX-WHSB-0005-SM-3LK7C
GTEX-WHSE	GTEX-WHSE-0006-SM-3NMBW
GTEX-WHWD	GTEX-WHWD-0005-SM-3LK7D
GTEX-WI4N	GTEX-WI4N-0005-SM-3LK7E
GTEX-WK11	GTEX-WK11-0006-SM-3NB3J
GTEX-WL46	GTEX-WL46-0006-SM-4OOS5
GTEX-WOFL	GTEX-WOFL-0006-SM-3TW8K
GTEX-WOFM	GTEX-WOFM-0005-SM-3MJF3
GTEX-WQUQ	GTEX-WQUQ-0006-SM-3MJF4
GTEX-WRHK	GTEX-WRHK-0005-SM-3MJF5
GTEX-WRHU	GTEX-WRHU-0006-SM-3MJF6
GTEX-WVLH	GTEX-WVLH-0006-SM-3MJF7
GTEX-WWYW	GTEX-WWYW-0005-SM-3NB3K
GTEX-WXYG	GTEX-WXYG-0005-SM-3NB3M
GTEX-WY7C	GTEX-WY7C-0006-SM-3NB3L
GTEX-WYBS	GTEX-WYBS-0005-SM-4ONDR
GTEX-WYJK	GTEX-WYJK-0005-SM-3NMA1
GTEX-WYVS	GTEX-WYVS-0006-SM-3NMA7
GTEX-WZTO	GTEX-WZTO-0006-SM-3NM9T
GTEX-X15G	GTEX-X15G-0005-SM-3NMDA
GTEX-X261	GTEX-X261-0005-SM-4PQYX
GTEX-X3Y1	GTEX-X3Y1-0006-SM-3P5ZG
GTEX-X4EO	GTEX-X4EO-0006-SM-3P5ZF
GTEX-X4EP	GTEX-X4EP-0005-SM-3P5ZE
GTEX-X4LF	GTEX-X4LF-0006-SM-3NMCO
GTEX-X4XX	GTEX-X4XX-0005-SM-3NMCS
GTEX-X4XY	GTEX-X4XY-0006-SM-46MV2
GTEX-X585	GTEX-X585-0005-SM-46MV3
GTEX-X5EB	GTEX-X5EB-0006-SM-46MV5
GTEX-X62O	GTEX-X62O-0005-SM-46MV1
GTEX-X638	GTEX-X638-0005-SM-47JX6
GTEX-X88G	GTEX-X88G-0006-SM-47JX5
GTEX-X8HC	GTEX-X8HC-0006-SM-46MV6
GTEX-XAJ8	GTEX-XAJ8-0006-SM-46MVM
GTEX-XBEC	GTEX-XBEC-0006-SM-4AT5T
GTEX-XBED	GTEX-XBED-0006-SM-47JXO
GTEX-XBEW	GTEX-XBEW-0006-SM-4AT4E
GTEX-XGQ4	GTEX-XGQ4-0005-SM-4AT5U
GTEX-XK95	GTEX-XK95-0005-SM-4AT4S
GTEX-XLM4	GTEX-XLM4-0005-SM-4AT4P
GTEX-XMD1	GTEX-XMD1-0006-SM-4AT4Q
GTEX-XMD2	GTEX-XMD2-0006-SM-4WWEG
GTEX-XMD3	GTEX-XMD3-0006-SM-4AT5X
GTEX-XMK1	GTEX-XMK1-0005-SM-4B665
GTEX-XOT4	GTEX-XOT4-0005-SM-4B64S
GTEX-XPT6	GTEX-XPT6-0006-SM-4B66Q
GTEX-XPVG	GTEX-XPVG-0006-SM-4B65Z
GTEX-XQ3S	GTEX-XQ3S-0006-SM-4BOQ4
GTEX-XQ8I	GTEX-XQ8I-0006-SM-4BOQ5
GTEX-XUW1	GTEX-XUW1-0005-SM-4BOQ7
GTEX-XUYS	GTEX-XUYS-0005-SM-47JZ2
GTEX-XUZC	GTEX-XUZC-0005-SM-4BOQ8
GTEX-XXEK	GTEX-XXEK-0005-SM-4BRWJ
GTEX-XYKS	GTEX-XYKS-0005-SM-4BRUD
GTEX-Y111	GTEX-Y111-0006-SM-4SOIO
GTEX-Y114	GTEX-Y114-0006-SM-4TT76
GTEX-Y3I4	GTEX-Y3I4-0006-SM-4TT1E
GTEX-Y3IK	GTEX-Y3IK-0005-SM-4WWDE
GTEX-Y5LM	GTEX-Y5LM-0005-SM-4V6EJ
GTEX-Y5V5	GTEX-Y5V5-0006-SM-4V6FE
GTEX-Y5V6	GTEX-Y5V6-0005-SM-4V6FD
GTEX-Y8DK	GTEX-Y8DK-0005-SM-4RGNR
GTEX-Y8E4	GTEX-Y8E4-0006-SM-4V6EW
GTEX-Y8E5	GTEX-Y8E5-0006-SM-47JWQ
GTEX-Y8LW	GTEX-Y8LW-0005-SM-4V6EV
GTEX-Y9LG	GTEX-Y9LG-0006-SM-4VBRK
GTEX-YB5E	GTEX-YB5E-0005-SM-4VDSO
GTEX-YB5K	GTEX-YB5K-0005-SM-4VDSP
GTEX-YBZK	GTEX-YBZK-0005-SM-59HKG
GTEX-YEC3	GTEX-YEC3-0005-SM-4W21J
GTEX-YEC4	GTEX-YEC4-0001-SM-4W1Y6
GTEX-YECK	GTEX-YECK-0005-SM-4W217
GTEX-YF7O	GTEX-YF7O-0005-SM-4W1ZU
GTEX-YFC4	GTEX-YFC4-0006-SM-4RGLV
GTEX-Z93S	GTEX-Z93S-0005-SM-4RGLW
GTEX-ZAB4	GTEX-ZAB4-0005-SM-4RGM8
GTEX-ZC5H	GTEX-ZC5H-0005-SM-4WAXM
GTEX-ZDTS	GTEX-ZDTS-0006-SM-4WAYZ
GTEX-ZDTT	GTEX-ZDTT-0006-SM-4WKFP
GTEX-ZDXO	GTEX-ZDXO-0006-SM-4WKGF
GTEX-ZDYS	GTEX-ZDYS-0002-SM-4WKGR
GTEX-ZE7O	GTEX-ZE7O-0006-SM-51MTA
GTEX-ZEX8	GTEX-ZEX8-0005-SM-4WKGE
GTEX-ZF28	GTEX-ZF28-0005-SM-4WKH3
GTEX-ZF29	GTEX-ZF29-0006-SM-4WKGQ
GTEX-ZF2S	GTEX-ZF2S-0006-SM-4WKHF
GTEX-ZF3C	GTEX-ZF3C-0005-SM-4WWAR
GTEX-ZG7Y	GTEX-ZG7Y-0006-SM-4WWEA
GTEX-ZGAY	GTEX-ZGAY-0006-SM-4WWAQ
GTEX-ZLV1	GTEX-ZLV1-0005-SM-4WWAP
GTEX-ZP4G	GTEX-ZP4G-0006-SM-4WWE6
GTEX-ZPCL	GTEX-ZPCL-0006-SM-4WWAS
GTEX-ZPIC	GTEX-ZPIC-0005-SM-4WWEB
GTEX-ZPU1	GTEX-ZPU1-0006-SM-4WWAT
GTEX-ZQG8	GTEX-ZQG8-0005-SM-4YCEH
GTEX-ZQUD	GTEX-ZQUD-0005-SM-4YCE5
GTEX-ZT9W	GTEX-ZT9W-0005-SM-4YCEG
GTEX-ZTPG	GTEX-ZTPG-0006-SM-4YCFG
GTEX-ZTSS	GTEX-ZTSS-0005-SM-4YCDR
GTEX-ZTTD	GTEX-ZTTD-0006-SM-51MSJ
GTEX-ZTX8	GTEX-ZTX8-0006-SM-4YCE4
GTEX-ZUA1	GTEX-ZUA1-0005-SM-4YCEV
GTEX-ZV68	GTEX-ZV68-0006-SM-4YCEJ
GTEX-ZV7C	GTEX-ZV7C-0005-SM-57WDL
GTEX-ZVE2	GTEX-ZVE2-0006-SM-51MRW
GTEX-ZVP2	GTEX-ZVP2-0005-SM-51MRK
GTEX-ZVT2	GTEX-ZVT2-0005-SM-57WBW
GTEX-ZVT3	GTEX-ZVT3-0006-SM-51MT9
GTEX-ZVT4	GTEX-ZVT4-0006-SM-57WB8
GTEX-ZVZP	GTEX-ZVZP-0006-SM-51MSW
GTEX-ZVZQ	GTEX-ZVZQ-0006-SM-51MR8
GTEX-ZXES	GTEX-ZXES-0005-SM-57WCB
GTEX-ZXG5	GTEX-ZXG5-0005-SM-57WCN
